Bajirri  	[Ba-jirri] nominal. spring water on Mt Pierre Station. Category: Placenames and Country.
nanigood  	[nani-good] nominal. goat. From: English nannygoat. Caprus hircus. Category: introduced animals.
narloog  	[nar-loog] ambivalent verb. fold over. Niyaji boolba ngarragi narloogba ngarra. Fold those stuff of mine. Category: holding and transfer.  [SL,TC]
naroongga  	[naroong-ga] nominal. women dance in wangga.. Goornbooyarndi naroonggawirri joonba wanggaya. The women were dancing the wangga dance. Category: people.
narroogoo  	[narroo-goo] nominal. person with a same name. Category: people.  [mq]
narroogoolangoo  	[narroo-goo-la-ngoo] nominal. two people  with same name. Niyajiyoorroo goornboo yingi yoowarniwa Those two women have same name. Category: relations.
narroogoowa  	[narro-goo-wa] nominal. his namesake. Ngoorroo yaanya yoowooloo narroogoowa ngirndajiyoo. That other man is same name as this one . Category: relations.
narroogoowadi  	[naroo-goo-wadi] nominal. your namesake, person with same name as yours. Ngirndaji goornboo narrogoowadi. This woman is has same name as yours. Category: people.
narroogooyarrangi  	[narroo-goo-yarrangi] nominal. our namesake, person with the same name as ours. Niyaji goornboo narroogooyarrangi That woman has the same name as ours. Category: people.
naya  	nominal. sheet lightning. Category: elements.  [MS, JD]
nayoo  	[na-yoo] nominal. knife. Category: introduced items.  [FGG]
ngaa-  	verb. open. Barlga thangarndi ngaayi. The barramundi's mouth was open. Category: posture.  [TC, DS]
ngaandi  	nominal. flesh,   piece of meat. Category: body parts and products, food.  [MS. TC]
ngaanggi  	[ngaang-gi] possessive pronoun. your. where 'you'  is one person only. Category: pronouns, people.
ngaarri  	nominal. rock, stone, hill,  money. Meaning has been extended to include both coin and paper money. Category: Land.  [wk, mq]
ngab-  	verb. eat. Yoowooloongga ngabnga maa galamooda. The man was eating the turkey meat. Category: actions.
ngab  	nominal. eat. Ngamyingga ngabla wanyjirri maa. I ate kangarroo meat. Category: bodily functions.
ngabarayi-  	[ngaba-rayi] monovalent verb. yawn. Gambayi lambardi ngabarayimi the little boy yawned. Category: actions.  [TC]
ngabarlngabarl-  	[ngabarl-ngabarl] monovalent verb. ripple,  ruffing of water's surface,  small waves. Gamba ngabarlngabarlyi. There was ripple on the water. See: goobarlabarla. Category: actions.  [BC, RC]
ngaboo  	[nga-boo] nominal. father. Category: relations.  [bm,mq]
ngaboolangoo  	[ngaboo-langoo] nominal. father son/daughter pair. ngaboolangoo wardbirriyoo gawi binyi. father and son went fishing. Category: relations.
ngaboowa  	[ngaboo-wa] nominal. his/her father. Category: relations.
ngaboowadi  	[ngaboo-wadi] your father. Ngoonyiya ngaboowadi? Where is your father?. Category: relations.
ngabooyarrangi  	[ngaboo-yarrangi] nominal. our father. Category: relations.
ngagalyalya  	[nga-ga-lya-lya] nominal. Major Mitchell cockatoo. Cacatua leadbeateri. Category: birds.  [RC, SL,S&D 132]
ngaj  	nominal. sulk. Jajiyoo niyaji booga ngajbaninhi. What is that child sulking for.. Category: people.
ngaja  	[nga-ja] nominal. younger brother/sister. Category: relations.  [mq]
ngajalangoo  	[nga-ja-la-ngoo] nominal. two young brothers/two young sisters/young brother and sister  . Category: relations.
ngajangbadi  	[nga-jang-badi] nominal. your younger brother/sister. Category: relations.
ngajangiyarrangi  	[nga-jangi-yarrangi] nominal. our younger  brother, or our younger sister.
ngajangiyarrangi  	[nga-jangi-yarra-ngi] nominal. our younger brother/sister. ngirndaji marlara ngajangi yarrangi this girl is our little sister. Category: relations.
ngajangoowa  	[ngaja-ngoowa] nominal. his/her  younger brother/sister. Category: relations.
ngajirr  	[nga-jirr] verb. sneeze. Boolga ngajrryi goonggoodoongarri. The old was sneezing because he had a cold. Category: actions.
ngalag  	[nga-lag] monovalent verb. head ache. Ngarragi mirra ngalagngiri My head aches. Category: bodily functions.  [LC]
ngalany  	bivalent verb. sing. Yoowooloyarndiga joonba Ninyjininyji ngalanybirra. The men singing  the Ninyjininyji corroboree. Category: speaking and thought.  [LC, TC]
ngaliganybadi  	[ngali-gany-badi] nominal. your daughter/niece. Category: relations.
ngaliganyi  	[ngali-ganyi] nomnal. daughter/niece. In Gooniyandi society this person is considered one's daughter. Note: This is used from both male and female ego point of view Category: relations.  [wk, TC, wb]
ngaliganyiwa  	[ngali-ganyi-wa] nominal. his/her daughter/niece. Category: relations.
ngaliganyiyarrangi  	[ngali-ganyi-yarrangi] nominal. our daughter/niece. Category: relations.
ngalingi  	[ngali-ngi] nominal. sons and daughters /nephews and nieces. In Gooniyandi society these people are considered one's sons and daughters. Category: relations.  [TC]
ngalinya  	[ngali-nya] nominal. honey, sugarbag. Ngalinya is found in trees such as the bauhinia (joowooljidi) and the paperbark (goorroomba). Some people can identify which flower the honey came from by the smell of the honey. Ngalinya is also found in some rocks and termite mounds.. Category: bush food.  [wk, TC]
ngaloowinybadi  	[ngaloo-winy-badi] nominal. your nephew  [brother's son]. Category: relations.
ngaloowinyi  	[ngaloo-wi-nyi] nominal. nephew /brother's son. Note: This is used from both male and female ego point of view Category: relations.  [wb]
ngaloowinyiwa  	[ngaloo-winyi-wa] nominal. his/her/ nephew, his/her brother's son. yoowoolooyoo ngaloowiniya wardji roowa the man's son went hunting. Category: relations.
ngaloowinyiyarrangi  	[ngaloo-winyi-yarrangi] nominal. our nephew, our brother's son. ngirndajiyarndi mawilyi yarrangi ngaloowinyi marna nhingi. these children are our nephew and nieces from our brother. Category: relations.
ngalyadi  	[nga-lya-di] nominal. testicles. Category: body parts and products.  [mq]
ngamanyi  	[ngama-nyi] nominal. orphan. Category: people.
ngamari  	[ngama-ri] nominal. female. Nirndaji girili ngamari manyi garndoowa warangga. This tree is female, it has lots of fruit. Milder cold weather is male and very cold weather is female. Category: describers.  [mq]
ngamarrngamarr  	[ngamarr-ngamarr] verb. ripple on the water. Gamba ngamarrngamarryi garndoowa booga nyoomboorl yawirri. The water was rippling when lots of children were swimming. Usage: This verb is only used in the singular.. Category: motion.  [TC, DS]
ngambirri  	[ngam-birri] particle. again,  next time. Ngiwawoo wardjirri  ngambirri nyali. We went south again. Category: Language.  [WMc]
ngamboorr  	[ngam-boorr] verb. look after. Lambardi gambayi  ngamboorryawila. I will look after the  little boy.. Category: holding and transfer.  [TC]
ngamoo  	[nga-moo] adverb. before, already, long time ago. Category: describers.
ngamoonhingi  	[ngamoo-nhingi] adverb. from a long time ago. Category: describers.  [wb]
ngan.goo  	[ngan-goo] nominal. bullshark. Carcharhinus leucas. Category: fish.
ngandawi  	[nganda-wi] nominal. shade. goornboo waranggi ngandawiya. the woman sat in the shade. Category: plants.
ngandiwiri  	[ngandi-wiri] nominal. fat person. Niyaji yoowooloo ngandiwiriyanga. That man is so fat. Category: people.
ngang  	ambivalent verb. give. Maa ngangba niyaji goornboo give meat to that woman.. Category: holding and transfer.  [TC, JS]
nganthanany  	[ngantha-nany] nominal. rock python. Morelia spilota. Category: snakes.  [wb]
nganyandi  	[nga-nyan-di] nominal. raw,unripe, dead people or animals. Category: describers.
nganyi  	[nga-nyi] basic pronoun. I,  me. Category: pronouns.
nganyjaarli  	[ngany-jaarli] nominal. bush tomato. Solanum chippendalei, Solanum beaugleholei. This prickly plant bears round fruit.  The flesh can be eaten when pale and soft, after the bitter black seeds have been removed.  Unripe fruit is cooked by being buried in hot sand. Category: bush food.  [wk, JD]
ngarag  	[nga-rag] ambivalent verb. make. Ngaragma ngarragi niyaji jamayina Fix that axe for me. Category: impact and violence.  [TC]
ngaraj  	[nga-raj] monovalent verb. skite. Goornboo niyaji ngarajgarra wardgiri. That woman is strutting about. Category: posture.  [TC, DS]
ngarda  	[ngarda] monovalent verb. cry. Marlara lambardi ngardayi gambingarri The littke was crying because she wa sick, Category: speaking and thought.  [TC, DS]
ngardangarri  	[ngarda-ngarri] nominal. bereaved mother and father. Category: describers.
ngarlangbadi  	[ngarlang-badi] nominal. your son/nephew [sister's son]. Category: relations.
ngarlangi  	[ngarla-ngi] nominal. son/nephew [sister's son]. Niyaji yoowooloo ngarragi ngarlangi ngarraginhingi marni. That man is my nephew from my sister. Category: relations.
ngarlangilangoo  	[ngarla-ngi-la-ngoo] nominal. mother/son pair,  woman/nephew sister's son pair,  man/nephew sister's son pair. Category: relations.
ngarlangiyarrangi  	[ngarla-ngi-yarrangi] nominal. our son/our nephew our sister's son. Category: relations.
ngarlangoowa  	[ngarla-ngoowa] nominal. her son/ her nephew [her sister's son]. Category: relations.
ngarlarra-  	[ngarl-arra] monovalent verb. lie on one's back. Goornboo ngarlarra bagiyi, wardayarndi milanga. The woman lay on her back looking at the stars. Category: posture.  [TC]
ngarlirla  	nominal. rainstone, quartz crystals. Ngarri ngarlirla jaawoorrarri gambaya yiwirndi nyamani bijgarni. When they soak the crystal quartz  in the water it brings big rain. Category: artifacts.  [TC]
ngarloodoo  	nominal. three or four, few. Ngarloodoo wawanyi gardloonoo. I killed  three goannas. Category: numbers.  [wb, B.Mc 05020]
ngarloong-  	[ngarl-oong] monovalent verb. be born. Gambayi lambardi ngarloongbani babirri warlibirriya. The little boy was born down by the river. Category: actions.  [TC, DS]
-ngarna  	suffix. dweller, resident, inhabitant. Category: suffixes.  [TC, DS]
ngarndawiriny  	[ngarnda-wriny] nominal. groin. Category: body parts and products.
ngarnin-  	[ngarn-in] monovalent verb. sit cross legged. Ngarninbigani gambaya gawi joorrawa ramboorrayirra. Sit crosslegged in the water and drive the fish towards the net. Category: posture.  [PM, TC]
ngarra-  	ambivalent verb. know (a person or place), recognise. Ngoorndoo niyaji goornboo, ngarrayimi.? Who that woman, did you recognise her.? Category: describers.  [TC, DS]
ngarraali  	[ngarr-aali] nominal. pebble, gravel. Category: Land.  [SL,wb, mq]
ngarragi  	[ngarra-gi] possessive pronoun. my, mine. Category: pronouns.
ngarral-  	ambivalent verb. become angry. Goornboo ngarralminhi yoowoolooyoo. The woman got angry with the man. Category: actions.  [TC, DS]
ngarranggarni  	[ngarrang-garni] adverb. dreamtime. Ngamoo ngarranggarni riwi Giljibaya warangbirriyoo goornboo garndiwirri, yingi woogooyoorroo goorngawoornga. Long ago in the dreamtime at a place called Giljiba lived two women named Frog and Black Ant. Category: time.
ngarranybadi  	nominal. [ngarrany-badi] your mother. Ngarranybadi barnmawindi roowa nhingi? Did your mother come back from hunting? Category: relations.
ngarranyi  	[ngarra-nyi] nominal. mother. Anth: in Gooniyandi society this person is given the same status as one's mother. Category: relations.
ngarranyiyarrangi  	[ngarra-nyi-yarra-ngi] nominal. our mother. Category: relations.
ngarranyooya  	[ngarra-nyoo-wa] nominal. his/her mother. Category: relations.
ngarrarni  	[nrarra-ni] particle. always, everytime, all the time. Category: time.  [FGG 166]
-ngarraya  	[nga-rraya] enclitic. some, any, also, maybe. Ngoorndoongarraya liwaya wardmaya warlibirriyirra? Did you take anyone with you for company to the river? Category: suffixes.  [TC, DS, FGG 604, McG sketch grammar]
-ngarri  	suffix. with, accompanying, having. Joogoongarri wardjirri. We went with the children. Category: suffixes.  [McG sketch grammar, TC, DS]
ngarrij-  	[nga-rrij] monovalent verb. rest. Barndanyi ngarrijbani ngandawiya. The old woman rested in the shade. Category: posture.  [TC, DS]
ngarrja  	[ngarr-ja] nominal. five or more . Category: numbers.  [wb]
ngarroorda  	[ngarr-oorda] nominal. happy, joyful, glad. Category: describers.  [wb]
ngathaanyja  	[nga-thaanyja] nominal. palm tree/fan palm. Livistona eastonii; Family palmae. Ngathaanyja warari ngaarriya gamba giwirljiya. The palm grows in rocks in springwater country. Category: trees.  [Glenn Whiteman, Plants of  the Kimberley 215]
ngawagoo  	[ngawa-goo] nominal. flying termite. This is a substitute word, used by men to talk about flying termites.  It is taboo for them to eat the termites and to say the word because there are women's ceremonies associated with it. Category: insects and spiders.  [FGG]
ngawali  	[ngawa-li] nominal. spear thrower, woomera. Spear throwers are made from the jirndiwili and sandpaper and yimarli trees and tied with kangaroo sinew. Category: artifacts.  [wk, mq, B&B 155]
ngawarloowarloo  	[ngawarloo-warloo] nominal. swamp corkwood, white dragon tree. Sesbania formosa. This tree grows in black swampy soil. Note: There are large specimens at Jilgarra spring Category: trees.  [JD, RC, B&B 160]
ngawaya  	[ngawa-ya] nominal. black mud mussel. Velesunio wilsonii. Category: water animals.  [SL, wb]
ngawi  	nominal. aunty/father's sister. Category: relations.  [wb]
ngawiji  	[ngaw-ji] nominal. grandmother/father's mother/ woman's son's  children. Category: relations.
ngawijilangoo  	[ngawi-ji-la-ngoo] nominal. grandmother and grandchild pair [father's mother/ son's children]. Category: relations.
ngawijiwa  	[ngawiji-wa] nominal. his/her grandmother [father's mother,] woman's son's children. Category: relations.
ngawijiwadi  	[ngawiji-wadi] nominal. your grandmother/your fathers mother/ woman's son's children. Niyaji booga ngawijiwadimi? Is that kid your grandchild? Category: relations.
